"","rule","precision","recall"
"33","<{clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.BD_status_MISSING}>",0.17103175,0.078459666
"34","<{clc.BD_status_MISSING,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE},{clc.BD_status_MISSING}>",0.17,0.025428567
"35","<{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_BROKEN}>",0.16174603,0.15329365
"36","<{clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.15654761,0.061805556
"37","<{clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.15654761,0.061805556
"38","<{clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_BROKEN}>",0.15329365,0.15329365
"39","<{clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.14980158,0.061805556
"40","<{clc.NCEC_status_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.14563491,0.061805556
"41","<{clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_ALIVE_chann_BROKEN}>",0.14226189,0.13134919
"42","<{clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_ALIVE_chann_BROKEN}>",0.14226189,0.13134919
"43","<{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_ALIVE_chann_BROKEN}>",0.14075396,0.15634919
"44","<{clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE},{clc.NCEC_status_ALIVE_chann_BROKEN}>",0.13551586,0.13134919
"45","<{clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_ALIVE_chann_BROKEN}>",0.13230158,0.15634919
"46","<{clc.NCEC_status_ALIVE_chann_BROKEN},{clc.NCEC_status_ALIVE_chann_BROKEN}>",0.13134919,0.13134919
"47","<{clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_BROKEN}>",0.11547618,0.08884921
"48","<{clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_BROKEN}>",0.11547618,0.08884921
"49","<{clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE},{clc.NCEC_status_NOT_ALIVE_chann_BROKEN}>",0.11190475,0.08884921
"50","<{clc.NCEC_status_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_BROKEN}>",0.10912697,0.08884921
"51","<{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE},{clc.BD_status_MISSING}>",0.09972222,0.099296768
"52","<{clc.BD_status_MISSING},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.05814933,0.07555555
"53","<{clc.BD_status_MISSING},{clc.NCEC_status_NOT_ALIVE_chann_BROKEN}>",0.02176471,0.06666666
"54","<{clc.BD_status_MISSING},{clc.NCEC_status_ALIVE_chann_BROKEN}>",0.01,0.05
